======== Checking equivalence of automata =======
Automata directory:   tests/aut_timbuk_smaller/
Timeout:              30 s
reading files ...
-----------------------------------------------
      aut1;      aut2;double-incl;  bisim-up;bisim-up-cached;  congr-up;congr-up-cached;      '<=';
     A0063;     A0087;    0.0348;    0.1360;    0.0831;    0.0960;    0.0568;         0;        ok;
     A0063;     A0088;    0.0222;    0.1383;    0.0807;    0.0850;    0.0633;         0;        ok;
     A0063;     A0089;    0.0312;    0.1259;    0.0866;    0.0841;    0.0744;         0;        ok;
     A0064;     A0053;    0.0110;    0.0248;    0.0243;    0.0224;    0.0179;         0;        ok;
     A0064;     A0054;    0.0307;    0.0290;    0.0293;    0.0295;    0.0285;         0;        ok;
     A0064;     A0055;    0.0123;    0.0297;    0.0271;    0.0291;    0.0272;         0;        ok;
     A0064;     A0056;    0.0195;    0.0289;    0.0278;    0.0208;    0.0204;         0;        ok;
     A0064;     A0057;    0.0200;    0.0295;    0.0190;    0.0288;    0.0194;         0;        ok;
     A0064;     A0058;    0.0194;    0.0330;    0.0308;    0.0332;    0.0304;         0;        ok;
     A0064;     A0059;    0.0138;    0.0325;    0.0211;    0.0318;    0.0274;         0;        ok;
     A0064;     A0060;    0.0208;    0.0327;    0.0292;    0.0328;    0.0193;         0;        ok;
     A0064;     A0062;    0.0301;    0.0341;    0.0195;    0.0322;    0.0315;         0;        ok;
     A0064;     A0063;    0.3926;         -;         -;    3.2383;    0.9473;         1;        ok;
     A0064;     A0064;    0.3616;         -;   24.8836;    3.3652;    0.8690;         1;        ok;
     A0064;     A0065;    0.3717;         -;         -;    3.3115;    0.9357;         1;        ok;
     A0064;     A0070;    0.0300;    9.1002;    1.4981;    0.8256;    0.2397;         0;        ok;
     A0064;     A0080;    0.2378;    0.1812;    0.0918;    0.1475;    0.0977;         0;        ok;
     A0064;     A0082;    0.2125;    0.2449;    0.0916;    0.1287;    0.1076;         0;        ok;
     A0064;     A0083;    0.2248;    0.2091;    0.0934;    0.1546;    0.0789;         0;        ok;
     A0064;     A0086;    0.0306;    0.3429;    0.1740;    0.2132;    0.1189;         0;        ok;
     A0064;     A0087;    0.0286;    0.1407;    0.0767;    0.0829;    0.0670;         0;        ok;
     A0064;     A0088;    0.0255;    0.1572;    0.1020;    0.0854;    0.0576;         0;        ok;
     A0064;     A0089;    0.0217;    0.1330;    0.0763;    0.0820;    0.0676;         0;        ok;
     A0065;     A0053;    0.0129;    0.0179;    0.0200;    0.0279;    0.0251;         0;        ok;
     A0065;     A0054;    0.0317;    0.0235;    0.0190;    0.0311;    0.0194;         0;        ok;
     A0065;     A0055;    0.0123;    0.0288;    0.0270;    0.0191;    0.0171;         0;        ok;
     A0065;     A0056;    0.0181;    0.0260;    0.0211;    0.0269;    0.0181;         0;        ok;
     A0065;     A0057;    0.0135;    0.0326;    0.0291;    0.0315;    0.0293;         0;        ok;
     A0065;     A0058;    0.0160;    0.0294;    0.0289;    0.0316;    0.0295;         0;        ok;
     A0065;     A0059;    0.0208;    0.0316;    0.0263;    0.0302;    0.0320;         0;        ok;
     A0065;     A0060;    0.0205;    0.0310;    0.0198;    0.0299;    0.0282;         0;        ok;
     A0065;     A0062;    0.0298;    0.0320;    0.0264;    0.0234;    0.0297;         0;        ok;
     A0065;     A0063;    0.5199;         -;         -;    3.3749;    1.0399;         1;        ok;
     A0065;     A0064;    0.3808;         -;         -;    3.3582;    1.0486;         1;        ok;
     A0065;     A0065;    0.4707;         -;   24.3155;    3.3184;    1.0436;         1;        ok;
     A0065;     A0070;    0.0266;    1.6702;    0.3267;    0.7486;    0.0971;         0;        ok;
     A0065;     A0080;    0.2265;    0.1853;    0.0812;    0.1387;    0.0665;         0;        ok;
     A0065;     A0082;    0.1935;    0.2052;    0.0974;    0.1620;    0.1055;         0;        ok;
     A0065;     A0083;    0.2351;    0.2238;    0.0920;    0.1459;    0.1060;         0;        ok;
     A0065;     A0086;    0.0456;    0.3457;    0.1497;    0.1922;    0.1099;         0;        ok;
     A0065;     A0087;    0.0218;    0.1505;    0.0943;    0.0917;    0.0559;         0;        ok;
     A0065;     A0088;    0.0254;    0.1450;    0.0685;    0.1032;    0.0574;         0;        ok;
     A0065;     A0089;    0.0213;    0.1418;    0.0662;    0.0880;    0.0722;         0;        ok;
     A0070;     A0053;    0.0179;    0.0304;    0.0250;    0.0193;    0.0284;         0;        ok;
     A0070;     A0054;    0.0647;    0.0333;    0.0203;    0.0219;    0.0314;         0;        ok;
