
Antichain percentiles
percentile;time;
0.01965;0.0169;0.0224;
0.01965;0.0178;0.0215;
0.02005;0.0188;0.0213;
0.0201;0.0186;0.0216;
0.0202;0.0191;0.0213;
0.0202;0.0155;0.0249;
0.0203;0.0182;0.0224;
0.0203;0.019;0.0216;
0.0203;0.0199;0.0207;
0.0203;0.018;0.0226;
0.02045;0.0193;0.0216;
0.02055;0.0192;0.0219;
0.0207;0.0193;0.0221;
0.02075;0.02;0.0215;
0.0208;0.0195;0.0221;
0.0208;0.0179;0.0237;
0.0209;0.0194;0.0224;
0.021;0.0192;0.0228;
0.0211;0.0198;0.0224;
0.02115;0.019;0.0233;
0.0212;0.0199;0.0225;
0.0212;0.0196;0.0228;
0.0212;0.02;0.0224;
0.02125;0.02;0.0225;
0.02125;0.0197;0.0228;
0.0213;0.0201;0.0225;
0.0213;0.0193;0.0233;
0.02135;0.0201;0.0226;
0.02135;0.0199;0.0228;
0.02135;0.0197;0.023;
0.0214;0.018;0.0248;
0.0214;0.0199;0.0229;
0.02145;0.0204;0.0225;
0.0215;0.0197;0.0233;
0.0215;0.0194;0.0236;
0.0215;0.0201;0.0229;
0.02155;0.0199;0.0232;
0.02155;0.0202;0.0229;
0.0216;0.02;0.0232;
0.02175;0.0202;0.0233;
0.0218;0.0205;0.0231;
0.0218;0.0197;0.0239;
0.0219;0.0204;0.0234;
0.0219;0.0194;0.0244;
0.02195;0.0202;0.0237;
0.02195;0.0208;0.0231;
0.02195;0.02;0.0239;
0.022;0.0169;0.0271;
0.02215;0.0206;0.0237;
0.02215;0.0203;0.024;
0.0222;0.0203;0.0241;
0.0222;0.0202;0.0242;
0.0223;0.0205;0.0241;
0.02235;0.0205;0.0242;
0.02235;0.0205;0.0242;
0.0224;0.0217;0.0231;
0.0224;0.0209;0.0239;
0.02245;0.0214;0.0235;
0.02245;0.0206;0.0243;
0.02245;0.0207;0.0242;
0.0225;0.0207;0.0243;
0.0225;0.0209;0.0241;
0.02255;0.0209;0.0242;
0.02255;0.0205;0.0246;
0.02255;0.0207;0.0244;
0.02265;0.0209;0.0244;
0.02265;0.0215;0.0238;
0.0227;0.0205;0.0249;
0.0227;0.0207;0.0247;
0.0227;0.0187;0.0267;
0.0227;0.0204;0.025;
0.02275;0.0174;0.0281;
0.0228;0.0209;0.0247;
0.0228;0.0206;0.025;
0.02285;0.0213;0.0244;
0.0229;0.0218;0.024;
0.02295;0.0209;0.025;
0.02295;0.0213;0.0246;
0.023;0.0208;0.0252;
0.023;0.021;0.025;
0.02305;0.021;0.0251;
0.02305;0.021;0.0251;
0.02315;0.0212;0.0251;
0.0232;0.0221;0.0243;
0.0233;0.0262;0.0204;
0.0233;0.0223;0.0243;
0.02335;0.0215;0.0252;
0.0235;0.0214;0.0256;
0.02355;0.0221;0.025;
0.0236;0.0221;0.0251;
0.02365;0.0217;0.0256;
0.0237;0.0204;0.027;
0.0238;0.0225;0.0251;
0.0239;0.0225;0.0253;
0.02395;0.0226;0.0253;
0.024;0.018;0.03;
0.0241;0.0219;0.0263;
0.02415;0.0214;0.0269;
0.02415;0.0222;0.0261;
0.0242;0.0205;0.0279;
0.02425;0.022;0.0265;
0.02425;0.0188;0.0297;
0.02425;0.0227;0.0258;
