======== Checking equivalence of automata =======
Automata directory:   ./tests/fa_timbuk_armc/
Timeout:              5 s
reading files ...
-----------------------------------------------
      aut1;      aut2;double-incl;double-incl-d;  congr-up;      '<=';
armcNFA_inclTest_1;armcNFA_inclTest_8;    0.0009;    0.0008;    0.0008;         0;        ok;
armcNFA_inclTest_1;armcNFA_inclTest_9;    0.0004;    0.0004;    0.0004;         0;        ok;
armcNFA_inclTest_10;armcNFA_inclTest_0;    0.0025;    0.0025;    0.0022;         0;        ok;
armcNFA_inclTest_10;armcNFA_inclTest_1;    0.0024;    0.0023;    0.0022;         0;        ok;
armcNFA_inclTest_10;armcNFA_inclTest_10;    0.0140;    0.0143;    0.2265;         1;        ok;
armcNFA_inclTest_10;armcNFA_inclTest_1072;    0.1281;    0.1350;    0.1311;         0;        ok;
armcNFA_inclTest_10;armcNFA_inclTest_1073;    0.1315;    0.1375;    0.1354;         0;        ok;
armcNFA_inclTest_10;armcNFA_inclTest_11;    0.0031;    0.0053;    0.0033;         0;        ok;
armcNFA_inclTest_10;armcNFA_inclTest_12;    0.0064;    0.0121;    0.0738;         0;        ok;
armcNFA_inclTest_10;armcNFA_inclTest_13;    0.0057;    0.0088;    0.0054;         0;        ok;
armcNFA_inclTest_10;armcNFA_inclTest_14;    0.0116;    0.0095;    0.0096;         0;        ok;
armcNFA_inclTest_10;armcNFA_inclTest_15;    0.0072;    0.0129;    0.0809;         0;        ok;
armcNFA_inclTest_10;armcNFA_inclTest_16;    0.0152;    0.0127;    0.0132;         0;        ok;
armcNFA_inclTest_10;armcNFA_inclTest_17;    0.0074;    0.0134;    0.0804;         0;        ok;
armcNFA_inclTest_10;armcNFA_inclTest_18;    0.0108;    0.0096;    0.0096;         0;        ok;
armcNFA_inclTest_10;armcNFA_inclTest_19;    0.0065;    0.0122;    0.0759;         0;        ok;
armcNFA_inclTest_10;armcNFA_inclTest_2;    0.0056;    0.0038;    0.0045;         0;        ok;
armcNFA_inclTest_10;armcNFA_inclTest_20;    0.0146;    0.0131;    0.0132;         0;        ok;
armcNFA_inclTest_10;armcNFA_inclTest_21;    0.0109;    0.0097;    0.0097;         0;        ok;
armcNFA_inclTest_10;armcNFA_inclTest_22;    0.0140;    0.0128;    0.0127;         0;        ok;
