======== Checking equivalence of automata =======
Automata directory:   tests/aut_timbuk_smaller/
Timeout:              5 s
reading files ...
-----------------------------------------------
      aut1;      aut2;double-incl;  congr-up;      '<=';
     A0059;     A0087;    0.0172;    0.0172;         0;        ok;
     A0059;     A0088;    0.0147;    0.0150;         0;        ok;
     A0059;     A0089;    0.0121;    0.0127;         0;        ok;
     A0060;     A0053;    0.0070;    0.0062;         0;        ok;
     A0060;     A0054;    0.0079;    0.0077;         0;        ok;
     A0060;     A0055;    0.0085;    0.0084;         0;        ok;
     A0060;     A0056;    0.0086;    0.0084;         0;        ok;
     A0060;     A0057;    0.0084;    0.0084;         0;        ok;
     A0060;     A0058;    0.0080;    0.0082;         0;        ok;
     A0060;     A0059;    0.0084;    0.0083;         0;        ok;
     A0060;     A0060;    0.0441;    0.1679;         1;        ok;
     A0060;     A0062;    0.0278;    0.1601;         0;        ok;
     A0060;     A0063;    0.0119;    0.0114;         0;        ok;
     A0060;     A0064;    0.0097;    0.0088;         0;        ok;
     A0060;     A0065;    0.0120;    0.0115;         0;        ok;
     A0060;     A0070;    0.0131;    0.0127;         0;        ok;
     A0060;     A0080;    0.0142;    0.0134;         0;        ok;
     A0060;     A0082;    0.0140;    0.0133;         0;        ok;
     A0060;     A0083;    0.0185;    0.0135;         0;        ok;
     A0060;     A0086;    0.0253;    0.0239;         0;        ok;
     A0060;     A0087;    0.0139;    0.0152;         0;        ok;
     A0060;     A0088;    0.0174;    0.0195;         0;        ok;
     A0060;     A0089;    0.0127;    0.0127;         0;        ok;
     A0062;     A0053;    0.0074;    0.0067;         0;        ok;
     A0062;     A0054;    0.0083;    0.0081;         0;        ok;
     A0062;     A0055;    0.0089;    0.0088;         0;        ok;
     A0062;     A0056;    0.0080;    0.0076;         0;        ok;
     A0062;     A0057;    0.0065;    0.0064;         0;        ok;
     A0062;     A0058;    0.0081;    0.0082;         0;        ok;
     A0062;     A0059;    0.0138;    0.0143;         0;        ok;
     A0062;     A0060;    0.0136;    0.0302;         0;        ok;
     A0062;     A0062;    0.0398;    0.1481;         1;        ok;
     A0062;     A0063;    0.0094;    0.0093;         0;        ok;
     A0062;     A0064;    0.0113;    0.0112;         0;        ok;
     A0062;     A0065;    0.0127;    0.0120;         0;        ok;
     A0062;     A0070;    0.0135;    0.0126;         0;        ok;
     A0062;     A0080;    0.0140;    0.0139;         0;        ok;
     A0062;     A0082;    0.0109;    0.0106;         0;        ok;
     A0062;     A0083;    0.0153;    0.0146;         0;        ok;
     A0062;     A0086;    0.0235;    0.0228;         0;        ok;
     A0062;     A0087;    0.0192;    0.0188;         0;        ok;
     A0062;     A0088;    0.0132;    0.0134;         0;        ok;
     A0062;     A0089;    0.0180;    0.0179;         0;        ok;
     A0063;     A0053;    0.0103;    0.0098;         0;        ok;
     A0063;     A0054;    0.0162;    0.0111;         0;        ok;
     A0063;     A0055;    0.0125;    0.0112;         0;        ok;
     A0063;     A0056;    0.0116;    0.0110;         0;        ok;
     A0063;     A0057;    0.0137;    0.0122;         0;        ok;
     A0063;     A0058;    0.0153;    0.0152;         0;        ok;
     A0063;     A0059;    0.0104;    0.0099;         0;        ok;
     A0063;     A0060;    0.0147;    0.0100;         0;        ok;
     A0063;     A0062;    0.0188;    0.0133;         0;        ok;
     A0063;     A0063;    0.2900;    0.1327;         1;        ok;
     A0063;     A0064;    0.3760;    0.1829;         1;        ok;
     A0063;     A0065;    0.3588;    0.1798;         1;        ok;
     A0063;     A0070;    0.0269;    0.0260;         0;        ok;
     A0063;     A0080;    0.1606;    0.0193;         0;        ok;
     A0063;     A0082;    0.1318;    0.0156;         0;        ok;
     A0063;     A0083;    0.1226;    0.0152;         0;        ok;
     A0063;     A0086;    0.0232;    0.0247;         0;        ok;
     A0063;     A0087;    0.0159;    0.0179;         0;        ok;
     A0063;     A0088;    0.0163;    0.0183;         0;        ok;
     A0063;     A0089;    0.0161;    0.0178;         0;        ok;
     A0064;     A0053;    0.0099;    0.0137;         0;        ok;
     A0064;     A0054;    0.0203;    0.0114;         0;        ok;
     A0064;     A0055;    0.0092;    0.0080;         0;        ok;
     A0064;     A0056;    0.0125;    0.0111;         0;        ok;
     A0064;     A0057;    0.0097;    0.0086;         0;        ok;
     A0064;     A0058;    0.0101;    0.0088;         0;        ok;
     A0064;     A0059;    0.0139;    0.0116;         0;        ok;
     A0064;     A0060;    0.0132;    0.0174;         0;        ok;
     A0064;     A0062;    0.0175;    0.0103;         0;        ok;
     A0064;     A0063;    0.3657;    0.1504;         1;        ok;
     A0064;     A0064;    0.3299;    0.1458;         1;        ok;
     A0064;     A0065;    0.2560;    0.1047;         1;        ok;
     A0064;     A0070;    0.0172;    0.0436;         0;        ok;
     A0064;     A0080;    0.2305;    0.0195;         0;        ok;
     A0064;     A0082;    0.1914;    0.0157;         0;        ok;
     A0064;     A0083;    0.1968;    0.0197;         0;        ok;
     A0064;     A0086;    0.0196;    0.0208;         0;        ok;
     A0064;     A0087;    0.0216;    0.0239;         0;        ok;
     A0064;     A0088;    0.0210;    0.0227;         0;        ok;
     A0064;     A0089;    0.0207;    0.0224;         0;        ok;
     A0065;     A0053;    0.0077;    0.0072;         0;        ok;
     A0065;     A0054;    0.0201;    0.0110;         0;        ok;
     A0065;     A0055;    0.0124;    0.0104;         0;        ok;
     A0065;     A0056;    0.0084;    0.0080;         0;        ok;
     A0065;     A0057;    0.0126;    0.0111;         0;        ok;
     A0065;     A0058;    0.0128;    0.0112;         0;        ok;
     A0065;     A0059;    0.0129;    0.0114;         0;        ok;
     A0065;     A0060;    0.0130;    0.0110;         0;        ok;
     A0065;     A0062;    0.0194;    0.0114;         0;        ok;
     A0065;     A0063;    0.3097;    0.1369;         1;        ok;
     A0065;     A0064;    0.3444;    0.1884;         1;        ok;
     A0065;     A0065;    0.2500;    0.1486;         1;        ok;
     A0065;     A0070;    0.0171;    0.0243;         0;        ok;
     A0065;     A0080;    0.2009;    0.0189;         0;        ok;
     A0065;     A0082;    0.1789;    0.0143;         0;        ok;
     A0065;     A0083;    0.2043;    0.0196;         0;        ok;
     A0065;     A0086;    0.0212;    0.0221;         0;        ok;
     A0065;     A0087;    0.0218;    0.0226;         0;        ok;
     A0065;     A0088;    0.0227;    0.0243;         0;        ok;
     A0065;     A0089;    0.0148;    0.0158;         0;        ok;
     A0070;     A0053;    0.0085;    0.0079;         0;        ok;
     A0070;     A0054;    0.0575;    0.0127;         0;        ok;
     A0070;     A0055;    0.0346;    0.0079;         0;        ok;
     A0070;     A0056;    0.0126;    0.0116;         0;        ok;
     A0070;     A0057;    0.0580;    0.0118;         0;        ok;
     A0070;     A0058;    0.0711;    0.0125;         0;        ok;
     A0070;     A0059;    0.0740;    0.0120;         0;        ok;
     A0070;     A0060;    0.0697;    0.0118;         0;        ok;
     A0070;     A0062;    0.0501;    0.0122;         0;        ok;
     A0070;     A0063;    0.0120;    0.0225;         0;        ok;
     A0070;     A0064;    0.0167;    0.0306;         0;        ok;
     A0070;     A0065;    0.0128;    0.0251;         0;        ok;
     A0070;     A0070;    0.3029;    0.1651;         1;        ok;
     A0070;     A0080;    0.0144;    0.0155;         0;        ok;
     A0070;     A0082;    0.0187;    0.0204;         0;        ok;
     A0070;     A0083;    0.0192;    0.0218;         0;        ok;
     A0070;     A0086;    0.1434;    0.0292;         0;        ok;
     A0070;     A0087;    0.0157;    0.0176;         0;        ok;
     A0070;     A0088;    0.0232;    0.0248;         0;        ok;
     A0070;     A0089;    0.0186;    0.0182;         0;        ok;
     A0080;     A0053;    0.0131;    0.0141;         0;        ok;
     A0080;     A0054;    0.0111;    0.0102;         0;        ok;
     A0080;     A0055;    0.0141;    0.0118;         0;        ok;
     A0080;     A0056;    0.0110;    0.0099;         0;        ok;
     A0080;     A0057;    0.0173;    0.0136;         0;        ok;
     A0080;     A0058;    0.0137;    0.0133;         0;        ok;
     A0080;     A0059;    0.0128;    0.0121;         0;        ok;
     A0080;     A0060;    0.0146;    0.0125;         0;        ok;
     A0080;     A0062;    0.0144;    0.0130;         0;        ok;
     A0080;     A0063;    0.0170;    0.0190;         0;        ok;
     A0080;     A0064;    0.0170;    0.0190;         0;        ok;
     A0080;     A0065;    0.0121;    0.0138;         0;        ok;
     A0080;     A0070;    0.0135;    0.0151;         0;        ok;
     A0080;     A0080;    0.1830;    0.2042;         1;        ok;
     A0080;     A0082;    0.0966;    0.0607;         0;        ok;
     A0080;     A0083;    0.0972;    0.0605;         0;        ok;
     A0080;     A0086;    0.0206;    0.0219;         0;        ok;
     A0080;     A0087;    0.0234;    0.0243;         0;        ok;
     A0080;     A0088;    0.0226;    0.0249;         0;        ok;
     A0080;     A0089;    0.0160;    0.0177;         0;        ok;
     A0082;     A0053;    0.0134;    0.0121;         0;        ok;
     A0082;     A0054;    0.0100;    0.0093;         0;        ok;
     A0082;     A0055;    0.0150;    0.0144;         0;        ok;
     A0082;     A0056;    0.0154;    0.0149;         0;        ok;
     A0082;     A0057;    0.0167;    0.0174;         0;        ok;
     A0082;     A0058;    0.0172;    0.0130;         0;        ok;
     A0082;     A0059;    0.0129;    0.0122;         0;        ok;
     A0082;     A0060;    0.0163;    0.0136;         0;        ok;
     A0082;     A0062;    0.0143;    0.0103;         0;        ok;
     A0082;     A0063;    0.0194;    0.0215;         0;        ok;
     A0082;     A0064;    0.0191;    0.0202;         0;        ok;
     A0082;     A0065;    0.0124;    0.0143;         0;        ok;
     A0082;     A0070;    0.0138;    0.0158;         0;        ok;
     A0082;     A0080;    0.0207;    0.0850;         0;        ok;
     A0082;     A0082;    0.3333;    0.3213;         1;        ok;
     A0082;     A0083;    0.3322;    0.3228;         1;        ok;
     A0082;     A0086;    0.0316;    0.0327;         0;        ok;
     A0082;     A0087;    0.0232;    0.0250;         0;        ok;
     A0082;     A0088;    0.0232;    0.0252;         0;        ok;
     A0082;     A0089;    0.0229;    0.0248;         0;        ok;
     A0083;     A0053;    0.0135;    0.0123;         0;        ok;
     A0083;     A0054;    0.0149;    0.0143;         0;        ok;
     A0083;     A0055;    0.0151;    0.0131;         0;        ok;
     A0083;     A0056;    0.0106;    0.0099;         0;        ok;
     A0083;     A0057;    0.0116;    0.0106;         0;        ok;
     A0083;     A0058;    0.0150;    0.0135;         0;        ok;
     A0083;     A0059;    0.0150;    0.0138;         0;        ok;
     A0083;     A0060;    0.0164;    0.0132;         0;        ok;
     A0083;     A0062;    0.0154;    0.0138;         0;        ok;
     A0083;     A0063;    0.0187;    0.0262;         0;        ok;
     A0083;     A0064;    0.0127;    0.0150;         0;        ok;
     A0083;     A0065;    0.0176;    0.0199;         0;        ok;
     A0083;     A0070;    0.0166;    0.0202;         0;        ok;
     A0083;     A0080;    0.0230;    0.0940;         0;        ok;
     A0083;     A0082;    0.2399;    0.2321;         1;        ok;
     A0083;     A0083;    0.3292;    0.3210;         1;        ok;
     A0083;     A0086;    0.0292;    0.0314;         0;        ok;
     A0083;     A0087;    0.0229;    0.0248;         0;        ok;
     A0083;     A0088;    0.0236;    0.0257;         0;        ok;
