======== Checking equivalence of automata =======
Automata directory:   tests/aut_timbuk_smaller/
Timeout:              300 s
reading files ...
-----------------------------------------------
      aut1;      aut2;double-incl;congr-up-cached;      '<=';
     A0080;     A0053;    0.0141;    0.0230;         0;        ok;
     A0080;     A0054;    0.0137;    0.0222;         0;        ok;
     A0080;     A0055;    0.0148;    0.0215;         0;        ok;
     A0080;     A0056;    0.0143;    0.0223;         0;        ok;
     A0080;     A0057;    0.0134;    0.0223;         0;        ok;
     A0080;     A0058;    0.0147;    0.0235;         0;        ok;
     A0080;     A0059;    0.0147;    0.0233;         0;        ok;
     A0080;     A0060;    0.0147;    0.0221;         0;        ok;
     A0080;     A0062;    0.0157;    0.0234;         0;        ok;
     A0080;     A0063;    0.0176;    0.0650;         0;        ok;
     A0080;     A0064;    0.0177;    0.0621;         0;        ok;
     A0080;     A0065;    0.0171;    0.0619;         0;        ok;
     A0080;     A0070;    0.0191;    0.0668;         0;        ok;
     A0080;     A0080;    0.2584;    1.1792;         1;        ok;
     A0080;     A0082;    0.1437;    0.3716;         0;        ok;
     A0080;     A0083;    0.1397;    0.3622;         0;        ok;
     A0080;     A0086;    0.0337;    0.1171;         0;        ok;
     A0080;     A0087;    0.0229;    0.0721;         0;        ok;
     A0080;     A0088;    0.0237;    0.0712;         0;        ok;
     A0080;     A0089;    0.0234;    0.0696;         0;        ok;
     A0082;     A0053;    0.0135;    0.0222;         0;        ok;
     A0082;     A0054;    0.0140;    0.0232;         0;        ok;
     A0082;     A0055;    0.0155;    0.0225;         0;        ok;
     A0082;     A0056;    0.0139;    0.0236;         0;        ok;
     A0082;     A0057;    0.0139;    0.0236;         0;        ok;
     A0082;     A0058;    0.0147;    0.0254;         0;        ok;
     A0082;     A0059;    0.0143;    0.0241;         0;        ok;
     A0082;     A0060;    0.0160;    0.0240;         0;        ok;
     A0082;     A0062;    0.0150;    0.0240;         0;        ok;
     A0082;     A0063;    0.0195;    0.0773;         0;        ok;
     A0082;     A0064;    0.0176;    0.0711;         0;        ok;
     A0082;     A0065;    0.0183;    0.0691;         0;        ok;
     A0082;     A0070;    0.0203;    0.0734;         0;        ok;
     A0082;     A0080;    0.0216;    0.3653;         0;        ok;
     A0082;     A0082;    0.3475;    1.4325;         1;        ok;
     A0082;     A0083;    0.3551;    1.4305;         1;        ok;
     A0082;     A0086;    0.0336;    0.1230;         0;        ok;
     A0082;     A0087;    0.0238;    0.0745;         0;        ok;
     A0082;     A0088;    0.0245;    0.0740;         0;        ok;
     A0082;     A0089;    0.0233;    0.0727;         0;        ok;
     A0083;     A0053;    0.0142;    0.0218;         0;        ok;
     A0083;     A0054;    0.0143;    0.0229;         0;        ok;
     A0083;     A0055;    0.0149;    0.0224;         0;        ok;
     A0083;     A0056;    0.0151;    0.0239;         0;        ok;
     A0083;     A0057;    0.0141;    0.0232;         0;        ok;
     A0083;     A0058;    0.0150;    0.0242;         0;        ok;
     A0083;     A0059;    0.0150;    0.0241;         0;        ok;
     A0083;     A0060;    0.0164;    0.0234;         0;        ok;
     A0083;     A0062;    0.0165;    0.0244;         0;        ok;
     A0083;     A0063;    0.0176;    0.0703;         0;        ok;
     A0083;     A0064;    0.0176;    0.0693;         0;        ok;
     A0083;     A0065;    0.0176;    0.0694;         0;        ok;
     A0083;     A0070;    0.0182;    0.0750;         0;        ok;
     A0083;     A0080;    0.0207;    0.3640;         0;        ok;
     A0083;     A0082;    0.3325;    1.4287;         1;        ok;
     A0083;     A0083;    0.3613;    1.4193;         1;        ok;
     A0083;     A0086;    0.0319;    0.1204;         0;        ok;
     A0083;     A0087;    0.0234;    0.0840;         0;        ok;
     A0083;     A0088;    0.0241;    0.0763;         0;        ok;
     A0083;     A0089;    0.0248;    0.0743;         0;        ok;
     A0086;     A0053;    0.0233;    0.0370;         0;        ok;
     A0086;     A0054;    0.0244;    0.0391;         0;        ok;
     A0086;     A0055;    0.0246;    0.0393;         0;        ok;
     A0086;     A0056;    0.0253;    0.0404;         0;        ok;
     A0086;     A0057;    0.0254;    0.0425;         0;        ok;
     A0086;     A0058;    0.0254;    0.0410;         0;        ok;
     A0086;     A0059;    0.0262;    0.0437;         0;        ok;
     A0086;     A0060;    0.0264;    0.0410;         0;        ok;
     A0086;     A0062;    0.0259;    0.0424;         0;        ok;
     A0086;     A0063;    0.0300;    0.1097;         0;        ok;
     A0086;     A0064;    0.0335;    0.1099;         0;        ok;
     A0086;     A0065;    0.0295;    0.1090;         0;        ok;
     A0086;     A0070;    0.0296;    0.1080;         0;        ok;
     A0086;     A0080;    0.0305;    0.1148;         0;        ok;
     A0086;     A0082;    0.0379;    0.1199;         0;        ok;
     A0086;     A0083;    0.0305;    0.1227;         0;        ok;
     A0086;     A0086;    0.5925;    2.8353;         1;        ok;
     A0086;     A0087;    0.0357;    0.1210;         0;        ok;
     A0086;     A0088;    0.0337;    0.1279;         0;        ok;
     A0086;     A0089;    0.0357;    0.1206;         0;        ok;
     A0087;     A0053;    0.0268;    0.0264;         0;        ok;
     A0087;     A0054;    0.0370;    0.0301;         0;        ok;
     A0087;     A0055;    0.0290;    0.0339;         0;        ok;
     A0087;     A0056;    0.0384;    0.0295;         0;        ok;
     A0087;     A0057;    0.0372;    0.0320;         0;        ok;
     A0087;     A0058;    0.0391;    0.0290;         0;        ok;
     A0087;     A0059;    0.0477;    0.0290;         0;        ok;
     A0087;     A0060;    0.0379;    0.0284;         0;        ok;
     A0087;     A0062;    0.0340;    0.0311;         0;        ok;
     A0087;     A0063;    0.0904;    0.0549;         0;        ok;
     A0087;     A0064;    0.0807;    0.0548;         0;        ok;
     A0087;     A0065;    0.0778;    0.0540;         0;        ok;
     A0087;     A0070;    0.0825;    0.0598;         0;        ok;
     A0087;     A0080;    0.0896;    0.0724;         0;        ok;
     A0087;     A0082;    0.4361;    0.0755;         0;        ok;
     A0087;     A0083;    0.4518;    0.0757;         0;        ok;
     A0087;     A0086;    0.1026;    0.1150;         0;        ok;
     A0087;     A0087;    1.2095;    0.6320;         1;        ok;
     A0087;     A0088;    1.0560;    0.6379;         1;        ok;
     A0087;     A0089;    0.1537;    0.3640;         0;        ok;
     A0088;     A0053;    0.0190;    0.0282;         0;        ok;
     A0088;     A0054;    0.0233;    0.0317;         0;        ok;
     A0088;     A0055;    0.0234;    0.0276;         0;        ok;
     A0088;     A0056;    0.0230;    0.0292;         0;        ok;
     A0088;     A0057;    0.0221;    0.0313;         0;        ok;
     A0088;     A0058;    0.0231;    0.0303;         0;        ok;
     A0088;     A0059;    0.0220;    0.0364;         0;        ok;
     A0088;     A0060;    0.0215;    0.0324;         0;        ok;
     A0088;     A0062;    0.0254;    0.0293;         0;        ok;
     A0088;     A0063;    0.0295;    0.0559;         0;        ok;
     A0088;     A0064;    0.0283;    0.0573;         0;        ok;
     A0088;     A0065;    0.0271;    0.0542;         0;        ok;
     A0088;     A0070;    0.0284;    0.0609;         0;        ok;
     A0088;     A0080;    0.0305;    0.0715;         0;        ok;
     A0088;     A0082;    0.3883;    0.0735;         0;        ok;
     A0088;     A0083;    0.4042;    0.0795;         0;        ok;
     A0088;     A0086;    0.0395;    0.1333;         0;        ok;
     A0088;     A0087;    1.0345;    0.6332;         1;        ok;
     A0088;     A0088;    0.9054;    0.6448;         1;        ok;
     A0088;     A0089;    0.0358;    0.3646;         0;        ok;
     A0089;     A0053;    0.0172;    0.0268;         0;        ok;
     A0089;     A0054;    0.0184;    0.0286;         0;        ok;
     A0089;     A0055;    0.0187;    0.0299;         0;        ok;
     A0089;     A0056;    0.0212;    0.0282;         0;        ok;
     A0089;     A0057;    0.0190;    0.0289;         0;        ok;
     A0089;     A0058;    0.0191;    0.0309;         0;        ok;
     A0089;     A0059;    0.0190;    0.0319;         0;        ok;
     A0089;     A0060;    0.0186;    0.0361;         0;        ok;
     A0089;     A0062;    0.0218;    0.0309;         0;        ok;
     A0089;     A0063;    0.0253;    0.0538;         0;        ok;
     A0089;     A0064;    0.0235;    0.0596;         0;        ok;
     A0089;     A0065;    0.0224;    0.0526;         0;        ok;
     A0089;     A0070;    0.0235;    0.0618;         0;        ok;
     A0089;     A0080;    0.0249;    0.0706;         0;        ok;
     A0089;     A0082;    0.3922;    0.0719;         0;        ok;
     A0089;     A0083;    0.4060;    0.0743;         0;        ok;
     A0089;     A0086;    0.4075;    0.1123;         0;        ok;
     A0089;     A0087;    0.5822;    0.3594;         0;        ok;
     A0089;     A0088;    0.4675;    0.3630;         0;        ok;
     A0089;     A0089;    0.9324;    0.6214;         1;        ok;
