======== Checking equivalence of automata =======
Automata directory:   tests/aut_timbuk_smaller/
Timeout:              300 s
reading files ...
-----------------------------------------------
      aut1;      aut2;double-incl;congr-up-cached;      '<=';
     A0059;     A0083;    0.0146;    0.0241;         0;        ok;
     A0059;     A0086;    0.0252;    0.0426;         0;        ok;
     A0059;     A0087;    0.0189;    0.0302;         0;        ok;
     A0059;     A0088;    0.0180;    0.0308;         0;        ok;
     A0059;     A0089;    0.0179;    0.0304;         0;        ok;
     A0060;     A0053;    0.0072;    0.0115;         0;        ok;
     A0060;     A0054;    0.0087;    0.0196;         0;        ok;
     A0060;     A0055;    0.0089;    0.0311;         0;        ok;
     A0060;     A0056;    0.0081;    0.0142;         0;        ok;
     A0060;     A0057;    0.0080;    0.0193;         0;        ok;
     A0060;     A0058;    0.0082;    0.0200;         0;        ok;
     A0060;     A0059;    0.0083;    0.0198;         0;        ok;
     A0060;     A0060;    0.0376;    0.7565;         1;        ok;
     A0060;     A0062;    0.0272;    0.7357;         0;        ok;
     A0060;     A0063;    0.0115;    0.0188;         0;        ok;
     A0060;     A0064;    0.0115;    0.0189;         0;        ok;
     A0060;     A0065;    0.0114;    0.0185;         0;        ok;
     A0060;     A0070;    0.0122;    0.0197;         0;        ok;
     A0060;     A0080;    0.0133;    0.0220;         0;        ok;
     A0060;     A0082;    0.0137;    0.0228;         0;        ok;
     A0060;     A0083;    0.0139;    0.0230;         0;        ok;
     A0060;     A0086;    0.0220;    0.0379;         0;        ok;
     A0060;     A0087;    0.0169;    0.0282;         0;        ok;
     A0060;     A0088;    0.0171;    0.0287;         0;        ok;
     A0060;     A0089;    0.0167;    0.0284;         0;        ok;
     A0062;     A0053;    0.0074;    0.0125;         0;        ok;
     A0062;     A0054;    0.0084;    0.0201;         0;        ok;
     A0062;     A0055;    0.0089;    0.0279;         0;        ok;
     A0062;     A0056;    0.0082;    0.0141;         0;        ok;
     A0062;     A0057;    0.0084;    0.0223;         0;        ok;
     A0062;     A0058;    0.0085;    0.0208;         0;        ok;
     A0062;     A0059;    0.0086;    0.0210;         0;        ok;
     A0062;     A0060;    0.0145;    0.1710;         0;        ok;
     A0062;     A0062;    0.0411;    0.7011;         1;        ok;
     A0062;     A0063;    0.0118;    0.0193;         0;        ok;
     A0062;     A0064;    0.0118;    0.0195;         0;        ok;
     A0062;     A0065;    0.0119;    0.0191;         0;        ok;
     A0062;     A0070;    0.0126;    0.0248;         0;        ok;
     A0062;     A0080;    0.0162;    0.0268;         0;        ok;
