======== Checking equivalence of automata =======
Automata directory:   ./tests/aut_timbuk_smaller
Timeout:              300 s
reading files ...
-----------------------------------------------
      aut1;      aut2;double-incl;double-incl-d;  congr-up;      '<=';
     A0083;     A0054;    0.0132;    0.0138;    0.0120;         0;        ok;
     A0083;     A0055;    0.0109;    0.0096;    0.0115;         0;        ok;
     A0083;     A0056;    0.0107;    0.0103;    0.0126;         0;        ok;
     A0083;     A0057;    0.0118;    0.0155;    0.0121;         0;        ok;
     A0083;     A0058;    0.0152;    0.0105;    0.0138;         0;        ok;
     A0083;     A0059;    0.0110;    0.0156;    0.0124;         0;        ok;
     A0083;     A0060;    0.0117;    0.0103;    0.0122;         0;        ok;
     A0083;     A0062;    0.0114;    0.0136;    0.0154;         0;        ok;
     A0083;     A0063;    0.0134;    0.1185;    0.0158;         0;        ok;
     A0083;     A0064;    0.0135;    0.1414;    0.0167;         0;        ok;
     A0083;     A0065;    0.0204;    0.1494;    0.0195;         0;        ok;
     A0083;     A0070;    0.0217;    0.0213;    0.0219;         0;        ok;
     A0083;     A0080;    0.0158;    0.1017;    0.0185;         0;        ok;
     A0083;     A0082;    0.2505;    0.2494;    0.3697;         1;        ok;
     A0083;     A0083;    0.2461;    0.2454;    0.3715;         1;        ok;
     A0083;     A0086;    0.0231;    0.0317;    0.0257;         0;        ok;
     A0083;     A0087;    0.0219;    0.3499;    0.0204;         0;        ok;
     A0083;     A0088;    0.0277;    0.3288;    0.0310;         0;        ok;
     A0083;     A0089;    0.0175;    0.3174;    0.0307;         0;        ok;
     A0086;     A0053;    0.0166;    0.0246;    0.0270;         0;        ok;
     A0086;     A0054;    0.0277;    0.0262;    0.0279;         0;        ok;
     A0086;     A0055;    0.0206;    0.0158;    0.0219;         0;        ok;
     A0086;     A0056;    0.0255;    0.0177;    0.0192;         0;        ok;
     A0086;     A0057;    0.0265;    0.0249;    0.0288;         0;        ok;
     A0086;     A0058;    0.0176;    0.0257;    0.0292;         0;        ok;
     A0086;     A0059;    0.0281;    0.0262;    0.0282;         0;        ok;
     A0086;     A0060;    0.0280;    0.0266;    0.0184;         0;        ok;
     A0086;     A0062;    0.0274;    0.0255;    0.0253;         0;        ok;
     A0086;     A0063;    0.0308;    0.0325;    0.0352;         0;        ok;
     A0086;     A0064;    0.0317;    0.0335;    0.0346;         0;        ok;
     A0086;     A0065;    0.0220;    0.0224;    0.0315;         0;        ok;
     A0086;     A0070;    0.0317;    0.1153;    0.0227;         0;        ok;
     A0086;     A0080;    0.0345;    0.0333;    0.0242;         0;        ok;
     A0086;     A0082;    0.0324;    0.0256;    0.0334;         0;        ok;
     A0086;     A0083;    0.0336;    0.0341;    0.0336;         0;        ok;
     A0086;     A0086;    0.6227;    0.4655;    0.8966;         1;        ok;
     A0086;     A0087;    0.0383;    0.1048;    0.0396;         0;        ok;
     A0086;     A0088;    0.0246;    0.0282;    0.0332;         0;        ok;
     A0086;     A0089;    0.0344;    0.3064;    0.0409;         0;        ok;
     A0087;     A0053;    0.0316;    0.0183;    0.0141;         0;        ok;
     A0087;     A0054;    0.0387;    0.0129;    0.0229;         0;        ok;
     A0087;     A0055;    0.0309;    0.0186;    0.0143;         0;        ok;
     A0087;     A0056;    0.0420;    0.0186;    0.0149;         0;        ok;
     A0087;     A0057;    0.0434;    0.0184;    0.0223;         0;        ok;
     A0087;     A0058;    0.0392;    0.0127;    0.0221;         0;        ok;
     A0087;     A0059;    0.0361;    0.0191;    0.0227;         0;        ok;
     A0087;     A0060;    0.0353;    0.0193;    0.0149;         0;        ok;
     A0087;     A0062;    0.0314;    0.0200;    0.0228;         0;        ok;
     A0087;     A0063;    0.0724;    0.0240;    0.0272;         0;        ok;
     A0087;     A0064;    0.0660;    0.0233;    0.0177;         0;        ok;
     A0087;     A0065;    0.0588;    0.0236;    0.0263;         0;        ok;
     A0087;     A0070;    0.0768;    0.0243;    0.0188;         0;        ok;
     A0087;     A0080;    0.0863;    0.0264;    0.0301;         0;        ok;
     A0087;     A0082;    0.3483;    0.0258;    0.0204;         0;        ok;
     A0087;     A0083;    0.3583;    0.0174;    0.0307;         0;        ok;
     A0087;     A0086;    0.1065;    0.0380;    0.0418;         0;        ok;
     A0087;     A0087;    1.0447;    0.9235;    0.4875;         1;        ok;
     A0087;     A0088;    0.7959;    0.7977;    0.3803;         1;        ok;
     A0087;     A0089;    0.1160;    0.4377;    0.0235;         0;        ok;
     A0088;     A0053;    0.0146;    0.0121;    0.0143;         0;        ok;
     A0088;     A0054;    0.0163;    0.0133;    0.0156;         0;        ok;
     A0088;     A0055;    0.0153;    0.0127;    0.0149;         0;        ok;
     A0088;     A0056;    0.0176;    0.0165;    0.0174;         0;        ok;
     A0088;     A0057;    0.0249;    0.0179;    0.0161;         0;        ok;
     A0088;     A0058;    0.0252;    0.0201;    0.0222;         0;        ok;
     A0088;     A0059;    0.0165;    0.0200;    0.0234;         0;        ok;
     A0088;     A0060;    0.0266;    0.0195;    0.0210;         0;        ok;
     A0088;     A0062;    0.0248;    0.0212;    0.0236;         0;        ok;
     A0088;     A0063;    0.0311;    0.0238;    0.0284;         0;        ok;
     A0088;     A0064;    0.0310;    0.0244;    0.0281;         0;        ok;
     A0088;     A0065;    0.0203;    0.0239;    0.0279;         0;        ok;
     A0088;     A0070;    0.0326;    0.0258;    0.0291;         0;        ok;
     A0088;     A0080;    0.0242;    0.0170;    0.0212;         0;        ok;
     A0088;     A0082;    0.2833;    0.0174;    0.0204;         0;        ok;
     A0088;     A0083;    0.2784;    0.0181;    0.0208;         0;        ok;
     A0088;     A0086;    0.0292;    0.0245;    0.0274;         0;        ok;
     A0088;     A0087;    0.7815;    0.7726;    0.3654;         1;        ok;
     A0088;     A0088;    0.6968;    0.6890;    0.4047;         1;        ok;
     A0088;     A0089;    0.0393;    0.3865;    0.0372;         0;        ok;
